Course,Professor,Slot type,Student's class,Student's type,Visit duration (in minutes),Date (of the appointment/visit),Status (of the appointment/visit),
MATH 100B,Alisha Oldroyd,DropIn,Freshman,OnCampus,60,11/9/2021 15:41,Check In,
MATH 108X,Kent Bessey,DropIn,Sophomore,OnCampus,60,11/9/2021 15:38,Check In,
MATH 100B,Rachel Hurst,DropIn,Freshman,OnCampus,60,11/9/2021 15:35,Check In,
MATH 221A,Emily Walsh,DropIn,Sophomore,OnCampus,60,11/9/2021 15:29,Check In,
MATH 215,Troy Goodsell,DropIn,Junior,OnCampus,60,11/9/2021 15:24,Check In,
MATH 108X,Matt Webb,DropIn,Freshman,OnCampus,60,11/9/2021 15:13,Check In,
MATH 215,Troy Goodsell,DropIn,Senior,OnCampus,60,11/9/2021 15:12,Check In,
MATH 221C,Melanie Kennelly,DropIn,Sophomore,OnCampus,60,11/9/2021 15:11,Check In,
MATH 112X,Matthew Lewis,DropIn,Sophomore,OnCampus,60,11/9/2021 15:02,Check In,
MATH 108X,Curtis Nelson,DropIn,Freshman,OnCampus,60,11/9/2021 15:02,Check In,
MATH 112X,Matthew Lewis,DropIn,Sophomore,OnCampus,60,11/9/2021 14:38,Check In,
MATH 221C,Melanie Kennelly,DropIn,Sophomore,OnCampus,60,11/9/2021 14:36,Check In,
MATH 100B,Rich Llewellyn,DropIn,Freshman,OnCampus,12.33,11/9/2021 14:35,Attended,
MATH 100B,Rich Llewellyn,DropIn,Freshman,OnCampus,60,11/9/2021 14:29,Check In,
MATH 221A,Lawrence Chilton,DropIn,Sophomore,OnCampus,60,11/9/2021 14:22,Check In,
MATH 101,Daniel Baird,DropIn,Freshman,OnCampus,60,11/9/2021 14:19,Check In,
MATH 221B,Brett Amidan,DropIn,Senior,OnCampus,60,11/9/2021 14:18,Check In,
MATH 101,Stephan O'Shaughnessy,DropIn,Freshman,OnCampus,60,11/9/2021 14:18,Check In,
MATH 100B,Rachel Hurst,DropIn,Freshman,OnCampus,37.58,11/9/2021 14:17,Attended,
MATH 221B,Brett Amidan,DropIn,Sophomore,OnCampus,51.28,11/9/2021 14:10,Attended,
MATH 112X,Matthew Lewis,DropIn,Freshman,OnCampus,60,11/9/2021 14:03,Check In,
MATH 341,John Sinkovic,DropIn,Junior,OnCampus,60,11/9/2021 14:02,Check In,
MATH 108X,Daris Howard,DropIn,Sophomore,OnCampus,60,11/9/2021 13:51,Check In,
MATH 112X,Elaine Wagner,DropIn,NonMatriculated,OnCampus,70.69,11/9/2021 13:42,Attended,
MATH 100B,Alisa VanOrden,DropIn,Freshman,OnCampus,67.25,11/9/2021 13:40,Attended,
MATH 100B,Daniel Baird,DropIn,NonMatriculated,OnCampus,125.89,11/9/2021 13:32,Attended,
MATH 108X,Ryan Warr,DropIn,Freshman,OnCampus,33.35,11/9/2021 13:30,Attended,
MATH 221C,Melanie Kennelly,DropIn,Freshman,OnCampus,83.08,11/9/2021 13:27,Attended,
MATH 350,Brady Ward,DropIn,Junior,OnCampus,18.35,11/9/2021 13:19,Attended,
MATH 112X,Tim Goodwill,DropIn,Sophomore,OnCampus,60,11/9/2021 12:44,Check In,
MATH 100B,Rich Llewellyn,DropIn,Freshman,OnCampus,37.98,11/9/2021 12:36,Attended,
MATH 221B,Brett Amidan,DropIn,Freshman,OnCampus,55.69,11/9/2021 12:35,Attended,
MATH 101,Cynthia Ruchti,DropIn,Freshman,OnCampus,126.91,11/9/2021 12:34,Attended,
MATH 101,Elizabeth Crisp,DropIn,Freshman,OnCampus,75.64,11/9/2021 12:30,Attended,
MATH 101,Elizabeth Crisp,DropIn,Freshman,OnCampus,73.13,11/9/2021 12:30,Attended,
MATH 100B,Kristin Ballou,DropIn,Freshman,OnCampus,60,11/9/2021 12:30,Check In,
MATH 101,Elizabeth Crisp,DropIn,Freshman,OnCampus,60,11/9/2021 10:40,Check In,
MATH 100B,Daniel Baird,DropIn,Freshman,OnCampus,6.34,11/9/2021 10:33,Attended,
MATH 100B,Alisha Oldroyd,DropIn,Freshman,OnCampus,60,11/9/2021 10:20,Check In,
MATH 112X,Katrina Johnson,DropIn,Sophomore,OnCampus,194.72,11/9/2021 10:12,Attended,
MATH 108X,Carrie Garner,DropIn,Sophomore,OnCampus,60,11/9/2021 10:09,Check In,
MATH 101,Daniel Baird,DropIn,Senior,OnCampus,60,11/9/2021 10:09,Check In,
MATH 205,Matt Webb,DropIn,Sophomore,OnCampus,60,11/9/2021 10:01,Check In,
MATH 100B,Rich Llewellyn,DropIn,Freshman,OnCampus,60,11/9/2021 9:56,Check In,
MATH 108X,John Sinkovic,DropIn,Sophomore,OnCampus,60,11/9/2021 9:44,Check In,
MATH 100B,Daniel Baird,DropIn,Freshman,OnCampus,30.8,11/9/2021 9:22,Attended,
MATH 100B,Daniel Baird,DropIn,Freshman,OnCampus,10.64,11/9/2021 9:20,Attended,
MATH 108X,Ryan Warr,DropIn,Sophomore,OnCampus,29.74,11/9/2021 9:15,Attended,
MATH 221A,Lawrence Chilton,DropIn,Sophomore,OnCampus,20.6,11/9/2021 8:58,Attended,
MATH 221C,Garrett Saunders,DropIn,Sophomore,OnCampus,60,11/9/2021 8:55,Check In,
MATH 112X,Matthew Lewis,DropIn,Senior,OnCampus,136.9,11/9/2021 8:54,Attended,
MATH 109,David Stohel,DropIn,Sophomore,OnCampus,44.12,11/9/2021 8:53,Attended,
MATH 100B,Cindy Goodwill,DropIn,Freshman,OnCampus,144.77,11/9/2021 8:52,Attended,
MATH 101,Stephan O'Shaughnessy,DropIn,Freshman,OnCampus,0.12,11/8/2021 18:07,Attended,
MATH 108X,Carrie Garner,DropIn,Freshman,OnCampus,28.49,11/8/2021 17:48,Attended,
MATH 101,Stephan O'Shaughnessy,DropIn,Freshman,OnCampus,29.06,11/8/2021 17:37,Attended,
MATH 108X,Matt Webb,DropIn,Freshman,OnCampus,51.49,11/8/2021 17:34,Attended,
MATH 100B,Alisha Oldroyd,DropIn,Freshman,OnCampus,60,11/8/2021 17:29,Check In,
MATH 221A,Lawrence Chilton,DropIn,Senior,OnCampus,56.64,11/8/2021 17:26,Attended,
MATH 108X,Daris Howard,DropIn,Freshman,OnCampus,0.26,11/8/2021 17:16,Attended,
MATH 108X,John Sinkovic,DropIn,Sophomore,OnCampus,84.03,11/8/2021 17:09,Attended,
MATH 108X,Paul Cannon,DropIn,Freshman,OnCampus,60,11/8/2021 17:08,Check In,
MATH 101,Daniel Baird,DropIn,Sophomore,OnCampus,11.04,11/8/2021 17:02,Attended,
,,DropIn,Freshman,OnCampus,60,11/8/2021 16:56,Check In,
MATH 110X,Heidi Turner,DropIn,Junior,OnCampus,60,11/8/2021 16:40,Check In,
MATH 109,Shane Goodwin,DropIn,Freshman,OnCampus,60,11/8/2021 16:37,Check In,
MATH 112X,Katrina Johnson,DropIn,Sophomore,OnCampus,33.92,11/8/2021 16:36,Attended,
MATH 108X,Carrie Garner,DropIn,Sophomore,OnCampus,30.56,11/8/2021 16:35,Attended,
MATH 108X,Donald Baldwin,DropIn,Senior,OnCampus,60,11/8/2021 16:31,Check In,
MATH 108X,Jennifer Pack,DropIn,Freshman,OnCampus,106.14,11/8/2021 16:29,Attended,
MATH 101,Elizabeth Crisp,DropIn,Freshman,OnCampus,99.58,11/8/2021 16:27,Attended,
MATH 101,Stephan O'Shaughnessy,DropIn,Freshman,OnCampus,126.06,11/8/2021 16:24,Attended,
MATH 215,Troy Goodsell,DropIn,Freshman,OnCampus,60,11/8/2021 16:22,Check In,
MATH 108X,Daris Howard,DropIn,Sophomore,OnCampus,118.9,11/8/2021 16:17,Attended,
MATH 221A,Ryan Warr,DropIn,Junior,OnCampus,60,11/8/2021 16:16,Check In,
MATH 108X,Tim Morse,DropIn,Sophomore,OnCampus,60,11/8/2021 16:11,Check In,
,,DropIn,Freshman,OnCampus,60,11/8/2021 16:09,Check In,
,,DropIn,Freshman,OnCampus,60,11/8/2021 15:59,Check In,
MATH 112X,Matthew Lewis,DropIn,Sophomore,OnCampus,48.21,11/8/2021 15:44,Attended,
MATH 112X,Katrina Johnson,DropIn,Freshman,OnCampus,168.02,11/8/2021 15:39,Attended,
MATH 112X,Tim Goodwill,DropIn,Freshman,OnCampus,168.45,11/8/2021 15:39,Attended,
MATH 221B,Brent Morring,DropIn,Freshman,OnCampus,119.1,11/8/2021 15:38,Attended,
MATH 108X,Donald Baldwin,DropIn,Freshman,OnCampus,60,11/8/2021 15:36,Check In,
MATH 221C,Melanie Kennelly,DropIn,Sophomore,OnCampus,84.9,11/8/2021 15:31,Attended,
MATH 221C,Melanie Kennelly,DropIn,Sophomore,OnCampus,0.16,11/8/2021 15:31,Attended,
MATH 330,Sahar Qumsiyeh,DropIn,Senior,OnCampus,141.4,11/8/2021 15:29,Attended,
MATH 100B,Rich Llewellyn,DropIn,Freshman,OnCampus,60,11/8/2021 15:21,Check In,
MATH 112X,Katrina Johnson,DropIn,Freshman,OnCampus,60,11/8/2021 15:14,Check In,
MATH 113,Paul Johanson,DropIn,Junior,OnCampus,180.5,11/8/2021 15:14,Attended,
MATH 110X,Richard Pieper,DropIn,Freshman,OnCampus,101.99,11/8/2021 15:12,Attended,
MATH 215,Troy Goodsell,DropIn,Sophomore,OnCampus,68.98,11/8/2021 15:11,Attended,
MATH 215,Troy Goodsell,DropIn,Junior,OnCampus,53.09,11/8/2021 15:09,Attended,
MATH 108X,Matt Webb,DropIn,Freshman,OnCampus,60,11/8/2021 15:09,Check In,
MATH 101,Daniel Baird,DropIn,Freshman,OnCampus,42.27,11/8/2021 15:06,Attended,
MATH 100B,Carol Ashcraft,DropIn,Freshman,OnCampus,37.09,11/8/2021 15:06,Attended,
MATH 108X,Elaine Wagner,DropIn,Freshman,OnCampus,60,11/8/2021 15:06,Check In,
MATH 112X,Katrina Johnson,DropIn,Freshman,OnCampus,167.06,11/8/2021 15:03,Attended,
MATH 108X,Carrie Garner,DropIn,Freshman,OnCampus,63.78,11/8/2021 14:52,Attended,
MATH 108X,Curtis Nelson,DropIn,Freshman,OnCampus,60,11/8/2021 14:47,Check In,
MATH 221A,David Stohel,DropIn,Sophomore,OnCampus,60,11/8/2021 14:35,Check In,
MATH 108X,Carrie Garner,DropIn,Freshman,OnCampus,60,11/8/2021 14:19,Check In,
MATH 108X,Carrie Garner,DropIn,Freshman,OnCampus,0.07,11/8/2021 14:18,Attended,
MATH 101,Daniel Baird,DropIn,Freshman,OnCampus,133.39,11/8/2021 14:14,Attended,
MATH 108X,Daris Howard,DropIn,Freshman,OnCampus,60,11/8/2021 14:13,Check In,
MATH 112X,Matthew Lewis,DropIn,Sophomore,OnCampus,60,11/8/2021 14:11,Attended,
MATH 108X,Daris Howard,DropIn,Freshman,OnCampus,247.48,11/8/2021 14:08,Attended,
MATH 112X,Greg Cameron,DropIn,Sophomore,OnCampus,155.88,11/8/2021 14:05,Attended,
MATH 110X,Heidi Turner,DropIn,Freshman,OnCampus,146.55,11/8/2021 14:05,Attended,
MATH 205,Tyler Winiecke,DropIn,Senior,OnCampus,60.25,11/8/2021 14:04,Attended,
MATH 112X,Elaine Wagner,DropIn,Junior,OnCampus,105.76,11/8/2021 14:02,Attended,
MATH 110X,Richard Pieper,DropIn,Sophomore,OnCampus,53.17,11/8/2021 14:01,Attended,
MATH 108X,Paul Cannon,DropIn,Freshman,OnCampus,55.9,11/8/2021 14:00,Attended,
MATH 108X,Kent Bessey,DropIn,Freshman,OnCampus,60,11/8/2021 13:56,Check In,
MATH 111,Brad Garner,DropIn,Senior,OnCampus,60,11/8/2021 13:54,Check In,
MATH 221B,Ryan Cromar,DropIn,Junior,OnCampus,143.43,11/8/2021 13:53,Attended,
PH   121,Brian Pyper,DropIn,Freshman,OnCampus,74.57,11/8/2021 13:52,Attended,
MATH 108X,Matt Webb,DropIn,Freshman,OnCampus,136.48,11/8/2021 13:50,Attended,
MATH 108X,Curtis Nelson,DropIn,Freshman,OnCampus,31.09,11/8/2021 13:50,Attended,
MATH 221A,David Stohel,DropIn,Junior,OnCampus,51.22,11/8/2021 13:37,Attended,
MATH 221A,David Stohel,DropIn,Freshman,OnCampus,40.07,11/8/2021 13:19,Attended,
MATH 108X,Matt Webb,DropIn,Freshman,OnCampus,112.81,11/8/2021 13:13,Attended,
MATH 108X,Matt Webb,DropIn,Freshman,OnCampus,0.2,11/8/2021 13:13,Attended,
MATH 221A,David Stohel,DropIn,Sophomore,OnCampus,48.63,11/8/2021 13:11,Attended,
MATH 330,Sahar Qumsiyeh,DropIn,Junior,OnCampus,60,11/8/2021 13:04,Check In,
MATH 101,Daniel Baird,DropIn,Senior,OnCampus,143.7,11/8/2021 13:01,Attended,
MATH 108X,Matt Webb,DropIn,Freshman,OnCampus,123.3,11/8/2021 12:51,Attended,
MATH 108X,Matt Webb,DropIn,Freshman,OnCampus,56.32,11/8/2021 12:50,Attended,
MATH 110X,Richard Pieper,DropIn,Junior,OnCampus,35.74,11/8/2021 12:45,Attended,
MATH 100B,Alisha Oldroyd,DropIn,Freshman,OnCampus,286.3,11/8/2021 12:42,Attended,
MATH 221A,Emily Walsh,DropIn,Sophomore,OnCampus,16.67,11/8/2021 12:42,Attended,
MATH 108X,Matt Webb,DropIn,Freshman,OnCampus,30.62,11/8/2021 12:39,Attended,
MATH 101,Daniel Baird,DropIn,Sophomore,OnCampus,72.74,11/8/2021 12:39,Attended,
MATH 221C,Garrett Saunders,DropIn,Sophomore,OnCampus,21.77,11/8/2021 12:34,Attended,
PH   121,Ryan Nielson,DropIn,Freshman,OnCampus,61.25,11/8/2021 12:31,Attended,
MATH 100B,Alisha Oldroyd,DropIn,Freshman,OnCampus,14.1,11/8/2021 12:30,Attended,
MATH 221A,Steven Zollinger,DropIn,Junior,OnCampus,60,11/8/2021 12:23,Check In,
MATH 221B,Ryan Cromar,DropIn,Sophomore,OnCampus,30.94,11/8/2021 12:12,Attended,
MATH 112X,Katrina Johnson,DropIn,Freshman,OnCampus,136.93,11/8/2021 11:52,Attended,
MATH 100B,Kristin Ballou,DropIn,Freshman,OnCampus,60,11/8/2021 11:51,Check In,
MATH 101,Daniel Baird,DropIn,Sophomore,OnCampus,152.46,11/8/2021 11:48,Attended,
MATH 316,Dave Brown,DropIn,Senior,OnCampus,60,11/8/2021 11:46,Check In,
MATH 108X,Elaine Wagner,DropIn,Sophomore,OnCampus,60,11/8/2021 11:44,Check In,
MATH 110X,Richard Pieper,DropIn,Freshman,OnCampus,87.4,11/8/2021 11:36,Attended,
MATH 221A,Craig Johnson,DropIn,Sophomore,OnCampus,41.46,11/8/2021 11:27,Attended,
MATH 110X,Richard Pieper,DropIn,Sophomore,OnCampus,25.1,11/8/2021 11:24,Attended,
MATH 112X,Elaine Wagner,DropIn,NonMatriculated,OnCampus,72.7,11/8/2021 11:23,Attended,
MATH 101,Elizabeth Crisp,DropIn,Freshman,OnCampus,60,11/8/2021 11:21,Attended,
MATH 108X,Paul Cannon,DropIn,Freshman,OnCampus,0.11,11/8/2021 11:17,Attended,
MATH 108X,Kirstin Keetch,DropIn,Freshman,OnCampus,60,11/8/2021 11:11,Check In,
MATH 110X,Richard Pieper,DropIn,Sophomore,OnCampus,38.53,11/8/2021 11:08,Attended,
MATH 221B,Brett Amidan,DropIn,Senior,OnCampus,241.77,11/8/2021 11:03,Attended,
MATH 221B,Brett Amidan,DropIn,Senior,OnCampus,82.93,11/8/2021 11:00,Attended,
MATH 101,Elizabeth Crisp,DropIn,Senior,OnCampus,15.7,11/8/2021 10:48,Attended,
MATH 108X,Paul Cannon,DropIn,Freshman,OnCampus,30.35,11/8/2021 10:46,Attended,
MATH 100B,Rich Llewellyn,DropIn,Freshman,OnCampus,66.88,11/8/2021 10:43,Attended,
MATH 221C,Daniel Balls,DropIn,Junior,OnCampus,128.1,11/8/2021 10:42,Attended,
MATH 341,John Sinkovic,DropIn,Junior,OnCampus,181.03,11/8/2021 10:41,Attended,
MATH 221B,Brett Amidan,DropIn,Sophomore,OnCampus,60,11/8/2021 10:17,Check In,
MATH 221A,Marcus Gho,DropIn,Freshman,OnCampus,75.51,11/8/2021 10:15,Attended,
MATH 221A,David Stohel,DropIn,Freshman,OnCampus,78.21,11/8/2021 10:11,Attended,
MATH 221A,David Stohel,DropIn,Junior,OnCampus,58.73,11/8/2021 10:11,Attended,
MATH 112X,Katrina Johnson,DropIn,Sophomore,OnCampus,210.52,11/8/2021 10:11,Attended,
MATH 101,Stephan O'Shaughnessy,DropIn,Freshman,OnCampus,60,11/8/2021 10:08,Check In,
MATH 101,Daniel Baird,DropIn,Sophomore,OnCampus,74.53,11/8/2021 10:08,Attended,
MATH 100B,Cindy Goodwill,DropIn,Freshman,OnCampus,84.93,11/8/2021 10:08,Attended,
MATH 215,Troy Goodsell,DropIn,Sophomore,OnCampus,106.43,11/8/2021 10:05,Attended,
MATH 109,David Stohel,DropIn,Freshman,OnCampus,60,11/6/2021 15:38,Check In,
MATH 221B,Brett Amidan,DropIn,Senior,OnCampus,0.04,11/6/2021 15:36,Attended,
MATH 108X,Sandra Balmforth,DropIn,Sophomore,OnCampus,60,11/6/2021 15:18,Check In,
MATH 221A,Marcus Gho,DropIn,Freshman,OnCampus,60,11/6/2021 14:52,Attended,
MATH 110X,Richard Pieper,DropIn,Sophomore,OnCampus,60,11/6/2021 14:51,Check In,
,,DropIn,Freshman,OnCampus,60,11/6/2021 14:43,Check In,
MATH 221B,Brent Morring,DropIn,Freshman,OnCampus,60,11/6/2021 14:06,Attended,
MATH 100B,Rich Llewellyn,DropIn,Freshman,OnCampus,109.27,11/6/2021 13:54,Attended,
MATH 109,David Stohel,DropIn,Sophomore,OnCampus,15.07,11/6/2021 13:52,Attended,
MATH 112X,Matthew Lewis,DropIn,Senior,OnCampus,60,11/6/2021 13:42,Check In,
MATH 221B,Brett Amidan,DropIn,Sophomore,OnCampus,60,11/6/2021 13:37,Check In,
MATH 221B,Brett Amidan,DropIn,Senior,OnCampus,120.43,11/6/2021 13:36,Attended,
MATH 330,Sahar Qumsiyeh,DropIn,Junior,OnCampus,35.57,11/6/2021 13:26,Attended,
MATH 221B,Ryan Cromar,DropIn,Sophomore,OnCampus,120.9,11/6/2021 13:25,Attended,
DANCE396R,Molly Jorgensen,DropIn,Sophomore,OnCampus,118.59,11/6/2021 13:15,Attended,
MATH 221C,Garrett Saunders,DropIn,Junior,OnCampus,49.27,11/6/2021 13:13,Attended,
MATH 108X,John Sinkovic,DropIn,Sophomore,OnCampus,162.47,11/6/2021 13:09,Attended,
,,DropIn,Sophomore,OnCampus,60,11/6/2021 13:08,Check In,
MATH 100B,Alisa VanOrden,DropIn,Sophomore,OnCampus,8.67,11/6/2021 12:58,Attended,
MATH 316,Dave Brown,DropIn,Senior,OnCampus,60,11/6/2021 12:57,Attended,
MATH 108X,John Sinkovic,DropIn,Sophomore,OnCampus,59.62,11/6/2021 12:45,Attended,
MATH 221C,Garrett Saunders,DropIn,Senior,OnCampus,60,11/6/2021 12:42,Check In,
MATH 100B,Rachel Hurst,DropIn,Freshman,OnCampus,60,11/6/2021 12:40,Check In,
MATH 101,Daniel Baird,DropIn,Freshman,OnCampus,146.12,11/6/2021 12:16,Attended,
MATH 108X,Donald Baldwin,DropIn,Sophomore,OnCampus,32.29,11/6/2021 12:07,Attended,
MATH 221B,Brett Amidan,DropIn,Sophomore,OnCampus,60,11/6/2021 12:07,Attended,
MATH 112X,Matthew Lewis,DropIn,Sophomore,OnCampus,60,11/6/2021 12:03,Check In,
MATH 108X,Daris Howard,DropIn,Junior,OnCampus,5.68,11/6/2021 12:02,Attended,
MATH 108X,John Sinkovic,DropIn,Freshman,OnCampus,201.93,11/6/2021 11:48,Attended,
MATH 108X,Paul Cannon,DropIn,Freshman,OnCampus,2.68,11/6/2021 11:48,Attended,
MATH 341,John Sinkovic,DropIn,Junior,OnCampus,60,11/6/2021 11:30,Attended,
MATH 110X,Richard Pieper,DropIn,Sophomore,OnCampus,112.99,11/6/2021 11:05,Attended,
MATH 112X,Katrina Johnson,DropIn,Sophomore,OnCampus,121,11/6/2021 11:04,Attended,
MATH 100B,Rachel Hurst,DropIn,Freshman,OnCampus,43.8,11/6/2021 11:01,Attended,
MATH 108X,Daris Howard,DropIn,Junior,OnCampus,60,11/5/2021 18:08,Attended,
MATH 221B,Ryan Cromar,DropIn,Junior,OnCampus,0.16,11/5/2021 18:05,Attended,
MATH 108X,Jennifer Pack,DropIn,Freshman,OnCampus,6.09,11/5/2021 18:00,Attended,
MATH 112X,Elaine Wagner,DropIn,Junior,OnCampus,60,11/5/2021 17:53,Attended,
MATH 108X,Kent Bessey,DropIn,Freshman,OnCampus,60,11/5/2021 17:34,Check In,
MATH 221A,David Stohel,DropIn,Freshman,OnCampus,60,11/5/2021 17:24,Attended,
MATH 101,Daniel Baird,DropIn,Freshman,OnCampus,60,11/5/2021 17:09,Attended,
MATH 325,Garrett Saunders,DropIn,Junior,OnCampus,60,11/5/2021 17:00,Check In,
MATH 100B,Kristin Ballou,DropIn,Freshman,OnCampus,60,11/5/2021 17:00,Check In,
MATH 221B,Ryan Cromar,DropIn,Freshman,OnCampus,60,11/5/2021 16:57,Check In,
MATH 108X,John Sinkovic,DropIn,Freshman,OnCampus,60,11/5/2021 16:48,Attended,
MATH 221A,Craig Johnson,DropIn,Sophomore,OnCampus,24.66,11/5/2021 16:34,Attended,
MATH 221B,Ryan Cromar,DropIn,Sophomore,OnCampus,28.27,11/5/2021 16:32,Attended,
MATH 221A,David Stohel,DropIn,Sophomore,OnCampus,48.73,11/5/2021 16:26,Attended,
MATH 112X,Matthew Lewis,DropIn,Sophomore,OnCampus,66.14,11/5/2021 16:18,Attended,
MATH 221C,Garrett Saunders,DropIn,Sophomore,OnCampus,112.93,11/5/2021 16:16,Attended,
MATH 100B,Alisa VanOrden,DropIn,Freshman,OnCampus,8.45,11/5/2021 16:07,Attended,
MATH 108X,John Sinkovic,DropIn,Sophomore,OnCampus,145.33,11/5/2021 15:57,Attended,
MATH 108X,Carrie Garner,DropIn,Freshman,OnCampus,7.86,11/5/2021 15:52,Attended,
MATH 100B,Alisha Oldroyd,DropIn,Freshman,OnCampus,60,11/5/2021 15:51,Check In,
MATH 108X,Kent Bessey,DropIn,Freshman,OnCampus,30.82,11/5/2021 15:26,Attended,
MATH 108X,Kent Bessey,DropIn,Freshman,OnCampus,0.11,11/5/2021 15:26,Attended,
MATH 100B,Rachel Hurst,DropIn,Freshman,OnCampus,36.39,11/5/2021 15:18,Attended,
MATH 100B,Carol Ashcraft,DropIn,Senior,OnCampus,42.43,11/5/2021 15:15,Attended,
MATH 100B,Stephan O'Shaughnessy,DropIn,Freshman,OnCampus,60,11/5/2021 15:12,Check In,
MATH 100B,Carol Ashcraft,DropIn,Freshman,OnCampus,92.6,11/5/2021 15:11,Attended,
MATH 215,Troy Goodsell,DropIn,Sophomore,OnCampus,71.28,11/5/2021 15:11,Attended,
MATH 108X,John Sinkovic,DropIn,Sophomore,OnCampus,90.03,11/5/2021 15:10,Attended,
MATH 110X,Richard Pieper,DropIn,Sophomore,OnCampus,149.85,11/5/2021 15:07,Attended,
MATH 110X,Richard Pieper,DropIn,Freshman,OnCampus,101.62,11/5/2021 15:06,Attended,
MATH 100B,Carol Ashcraft,DropIn,Freshman,OnCampus,8.96,11/5/2021 15:04,Attended,
MATH 100B,Alisa VanOrden,DropIn,Freshman,OnCampus,29.51,11/5/2021 14:54,Attended,
MATH 101,Daniel Baird,DropIn,Freshman,OnCampus,159.16,11/5/2021 14:26,Attended,
MATH 108X,Carrie Garner,DropIn,Freshman,OnCampus,60,11/5/2021 14:25,Check In,
MATH 108X,Sahar Qumsiyeh,DropIn,Freshman,OnCampus,60,11/5/2021 14:10,Check In,
MATH 101,Elizabeth Crisp,DropIn,Senior,OnCampus,13.07,11/5/2021 14:04,Attended,
MATH 110X,Heidi Turner,DropIn,Junior,OnCampus,90.98,11/5/2021 14:02,Attended,
BIO  180,Daniel Taylor,DropIn,Freshman,OnCampus,14.43,11/5/2021 14:02,Attended,
MATH 108X,John Sinkovic,DropIn,Freshman,OnCampus,52.22,11/5/2021 13:54,Attended,
MATH 108X,Daris Howard,DropIn,Sophomore,OnCampus,100.05,11/5/2021 13:53,Attended,
MATH 108X,Daris Howard,DropIn,Sophomore,OnCampus,0.24,11/5/2021 13:52,Attended,
MATH 108X,Curtis Nelson,DropIn,Freshman,OnCampus,74.81,11/5/2021 13:43,Attended,
MATH 113,Heidi Turner,DropIn,Sophomore,OnCampus,60,11/5/2021 13:20,Check In,
MATH 101,Daniel Baird,DropIn,Senior,OnCampus,60,11/5/2021 13:20,Attended,
MATH 221B,Brent Morring,DropIn,Sophomore,OnCampus,42.89,11/5/2021 13:16,Attended,
MATH 110X,Richard Pieper,DropIn,Junior,OnCampus,82.11,11/5/2021 13:14,Attended,
MATH 221B,Ryan Cromar,DropIn,Sophomore,OnCampus,52.78,11/5/2021 13:06,Attended,
MATH 330,Sahar Qumsiyeh,DropIn,Junior,OnCampus,60,11/5/2021 12:47,Attended,
MATH 221B,Michelle Withers,DropIn,Senior,OnCampus,60,11/5/2021 12:45,Check In,
MATH 108X,John Sinkovic,DropIn,Freshman,OnCampus,60,11/5/2021 12:43,Check In,
MATH 112X,Matthew Lewis,DropIn,Freshman,OnCampus,206.8,11/5/2021 12:42,Attended,
MATH 330,Sahar Qumsiyeh,DropIn,Sophomore,OnCampus,48.45,11/5/2021 12:31,Attended,
MATH 112X,Matthew Lewis,DropIn,Sophomore,OnCampus,247.34,11/5/2021 12:31,Attended,
,,DropIn,Freshman,OnCampus,60,11/5/2021 12:31,Check In,
MATH 330,Sahar Qumsiyeh,DropIn,Sophomore,OnCampus,0.28,11/5/2021 12:31,Attended,
MATH 100B,Alisha Oldroyd,DropIn,Freshman,OnCampus,16.3,11/5/2021 12:28,Attended,
MATH 112X,Katrina Johnson,DropIn,Sophomore,OnCampus,230.38,11/5/2021 12:28,Attended,
MATH 112X,Katrina Johnson,DropIn,Freshman,OnCampus,133.1,11/5/2021 12:18,Attended,
MATH 108X,Daris Howard,DropIn,Sophomore,OnCampus,53.17,11/5/2021 12:09,Attended,
MATH 221B,Ryan Cromar,DropIn,Sophomore,OnCampus,44.05,11/5/2021 11:53,Attended,
MATH 110X,Richard Pieper,DropIn,Sophomore,OnCampus,146.28,11/5/2021 11:43,Attended,
MATH 100B,Alisha Oldroyd,DropIn,Freshman,OnCampus,0.39,11/5/2021 11:33,Attended,
MATH 112X,Katrina Johnson,DropIn,Sophomore,OnCampus,106.15,11/5/2021 11:26,Attended,
MATH 100B,Daniel Baird,DropIn,Freshman,OnCampus,60,11/5/2021 11:26,Check In,
MATH 112X,Elaine Wagner,DropIn,NonMatriculated,OnCampus,67.34,11/5/2021 11:25,Attended,
MATH 221B,Ryan Cromar,DropIn,Freshman,OnCampus,27.75,11/5/2021 11:25,Attended,
MATH 108X,Matt Webb,DropIn,Freshman,OnCampus,9.84,11/5/2021 11:24,Attended,
MATH 100B,Alisha Oldroyd,DropIn,Freshman,OnCampus,6.83,11/5/2021 11:24,Attended,
MATH 101,Elizabeth Crisp,DropIn,Freshman,OnCampus,101.51,11/5/2021 11:22,Attended,
MATH 110X,Richard Pieper,DropIn,Junior,OnCampus,60.57,11/5/2021 11:22,Attended,
MATH 101,Elizabeth Crisp,DropIn,Freshman,OnCampus,63.8,11/5/2021 11:20,Attended,
MATH 100B,Rich Llewellyn,DropIn,Freshman,OnCampus,14.02,11/5/2021 11:19,Attended,
MATH 100B,Rachel Hurst,DropIn,Freshman,OnCampus,9.31,11/5/2021 11:18,Attended,
MATH 108X,Matt Webb,DropIn,Freshman,OnCampus,35.28,11/5/2021 11:11,Attended,
